,Date,Close,High,Low,Open,Volume
49,2022-03-15,1616.17724609375,1659.27699787109,1608.0053726067936,1659.27699787109,7140443
50,2022-03-16,1660.199462890625,1664.1974441872826,1624.7003107966714,1638.7593724368805,5233979
51,2022-03-17,1629.6209716796875,1689.9871323532464,1610.6852372652634,1689.9871323532464,17731459
52,2022-03-21,1628.2591552734375,1658.0028379594185,1617.7587285984619,1635.2447090569246,8362085
53,2022-03-22,1658.4420166015625,1660.7265925780812,1615.9133353180378,1625.5789398251059,5709382
54,2022-03-23,1645.2618408203125,1669.5137026271,1631.7299714623814,1666.877628359794,6192824
55,2022-03-24,1657.8271484375,1664.7688324815458,1630.9831884689734,1630.9831884689734,3784303
56,2022-03-25,1648.9083251953125,1664.2414466217965,1632.6085574568626,1662.4840638904113,3438588
57,2022-03-28,1646.5799560546875,1652.7307963034818,1627.907762442276,1639.6382720357626,4008555
58,2022-03-29,1657.212158203125,1660.1997307360898,1634.8495025786779,1646.5800125748235,3917785
59,2022-03-30,1672.9842529296875,1686.20859986159,1665.1200087221018,1678.300378184282,7795839
60,2022-03-31,1675.5325927734375,1680.9365660718338,1664.4171256540967,1669.5135784299448,5399145
61,2022-04-01,1672.6331787109375,1678.564346091196,1650.4462192514522,1657.9589669091613,6171518
62,2022-04-04,1654.53173828125,1663.3626287396291,1645.7888027624538,1660.506882018338,7364074
63,2022-04-05,1635.33251953125,1660.3752240705198,1631.8617314560988,1655.278878381211,5472024
64,2022-04-06,1606.99462890625,1632.1691571431443,1601.1074398580135,1629.9724288024402,5407453
65,2022-04-07,1591.3101806640625,1606.3797601498356,1588.2787381336382,1600.1410724456011,5797544
66,2022-04-08,1594.4735107421875,1615.034912473109,1588.6741685263228,1601.854540499716,5131446
67,2022-04-11,1552.2523193359375,1593.946182924903,1548.7375537727073,1593.946182924903,8248407
68,2022-04-12,1531.0760498046875,1544.3004005492446,1518.1593269126358,1544.3004005492446,6456184
69,2022-04-13,1536.4359130859375,1544.3001583273306,1521.8935272961232,1542.0594523193558,6257693
70,2022-04-18,1424.71044921875,1449.841005189607,1397.119514091803,1410.7392326254023,30523965
71,2022-04-19,1372.5159912109375,1438.110326839995,1361.9716942234015,1438.110326839995,17044923
72,2022-04-20,1395.098388671875,1402.6552210404843,1373.3947525064125,1383.9390500304542,10678747
73,2022-04-21,1422.4256591796875,1429.8065810155888,1396.4602858072528,1401.5127612789481,7766514
74,2022-04-22,1393.1212158203125,1415.3081733294175,1390.4412714487692,1409.728504477574,8134245
75,2022-04-25,1371.72509765625,1382.0058512029284,1365.5742579702844,1382.0058512029284,7000570
76,2022-04-26,1389.2110595703125,1398.8766646653621,1376.5140121457584,1385.8719894508067,5345435
77,2022-04-27,1364.4320068359375,1381.961856821622,1362.2791486149092,1381.961856821622,8819356
78,2022-04-28,1390.616943359375,1407.4878820528004,1368.5178339093395,1379.5454535287045,9245177
79,2022-04-29,1377.392822265625,1403.533892844543,1371.4616549914167,1397.1194023690618,9831395
80,2022-05-02,1354.0634765625,1364.3881007348616,1345.276562373256,1362.7625430622788,7072627
81,2022-05-04,1349.2747802734375,1379.545659645514,1344.52982470503,1359.5554279531984,6220959
82,2022-05-05,1392.857666015625,1396.5921043901596,1368.5178503702025,1370.8025337737408,6144870
83,2022-05-06,1355.68896484375,1372.3841009487683,1348.8352364842315,1361.9716296199067,6171472
84,2022-05-09,1379.85302734375,1394.3075653232786,1337.5001444983088,1353.1847646359806,6832202
85,2022-05-10,1364.607666015625,1378.7985527649935,1358.5008040403675,1369.0011227639045,6212545
86,2022-05-11,1341.5421142578125,1361.9277121263535,1328.2299179037932,1361.9277121263535,7846080
87,2022-05-12,1325.7696533203125,1342.201139918884,1321.8155419424827,1330.3388057853947,7034979
88,2022-05-13,1321.9033203125,1343.7387794348365,1316.3675217689756,1334.9958431960715,6723761
89,2022-05-16,1308.459228515625,1328.449456127453,1299.276947088888,1326.8238986312238,6145331
90,2022-05-17,1334.2491455078125,1340.0046180837876,1301.2543420558934,1313.556023795679,6516378
91,2022-05-18,1326.1209716796875,1361.70797213733,1322.694161149026,1337.3682641118933,6594126
92,2022-05-19,1254.0245361328125,1304.593165199384,1245.6769672791786,1301.3420497086145,16561140
93,2022-05-20,1278.6278076171875,1288.8206063685275,1271.2028009563014,1276.7385996614764,10488908
94,2022-05-23,1290.2705078125,1307.4928382619098,1274.1465416425442,1278.5838689742561,5887569
95,2022-05-24,1266.1943359375,1291.2810188777573,1261.1418602736273,1290.446197671662,5693167
96,2022-05-25,1239.350341796875,1267.5124463343247,1229.50904023106,1260.9222603048568,9630092
97,2022-05-26,1251.212646484375,1256.5287726581694,1236.3628467990359,1245.9844752652336,13040065
98,2022-05-27,1284.0755615234375,1289.0401890208304,1263.030946945637,1268.7863108351823,8284860
99,2022-05-30,1341.5860595703125,1344.3978291185176,1304.8567164973847,1306.6140992805463,10904213
100,2022-05-31,1335.192626953125,1347.9798088750379,1321.4731129690717,1341.4973856707466,16033857
101,2022-06-01,1312.947998046875,1345.093445851079,1307.2203524001836,1343.5394511125153,8738508
102,2022-06-02,1339.0997314453125,1344.2944932066457,1310.3286014773466,1317.78779937987,7205840
103,2022-06-03,1351.2652587890625,1380.8356080966064,1347.9797125984878,1354.1069147899177,9395707
104,2022-06-06,1358.6800537109375,1364.496369880414,1325.779716646575,1346.2036506605543,6624883
105,2022-06-07,1337.9453125,1349.6224971381034,1334.3045457286844,1349.6224971381034,4904592
106,2022-06-08,1331.995849609375,1349.933350358208,1324.8918717447916,1349.933350358208,4697608
107,2022-06-09,1345.315673828125,1347.0472249005495,1315.5677694893513,1318.675759494895,4361061
108,2022-06-10,1311.394287109375,1326.6233521245908,1308.5526310764772,1319.6525958969517,6516436
109,2022-06-13,1264.9520263671875,1281.9127514082513,1253.5856187134593,1281.9127514082513,6987685
110,2022-06-14,1279.204345703125,1286.6191002718645,1245.9932304081092,1252.0759892436106,6090247
111,2022-06-15,1262.909423828125,1284.3990185434857,1259.9346552426048,1278.8933715213977,4651958
112,2022-06-16,1240.70947265625,1282.0457799508679,1236.0919312149667,1276.93979675799,6641772
113,2022-06-17,1231.9185791015625,1240.4876655034718,1214.0254135488024,1235.2485686561172,9692047
114,2022-06-20,1255.7611083984375,1263.0426411881947,1227.2119802322318,1234.360400176754,4595194
115,2022-06-21,1287.5072021484375,1292.9239635578995,1263.3980557362647,1264.5080522709127,6270787
116,2022-06-22,1276.27392578125,1296.1206407453685,1274.2759321593971,1275.208372542165,6253366
117,2022-06-23,1289.7713623046875,1294.6997896368189,1272.4998618309749,1278.5382855533985,6254281
118,2022-06-24,1279.692626953125,1303.1357725824364,1268.8591054568187,1294.6997999490238,6114340
119,2022-06-27,1309.4405517578125,1317.7877464947417,1301.049022203048,1303.6242355705597,4511097
120,2022-06-28,1314.3690185546875,1321.5617738738115,1290.2598739718783,1304.4678285372947,4412178
121,2022-06-29,1299.36181640625,1311.5717770934775,1293.8118342756918,1300.649368901304,5060038
122,2022-06-30,1298.1629638671875,1316.0116836459267,1292.0357622839565,1300.960176372367,9165177
123,2022-07-01,1313.702880859375,1318.6756427483724,1280.8025462113708,1291.147733707834,4651635
124,2022-07-04,1321.3397216796875,1325.1137094600226,1298.2517964352844,1314.4577439626057,4800224
125,2022-07-05,1310.63916015625,1340.8310588787854,1307.131615281538,1330.9299788102953,7379669
126,2022-07-06,1324.5809326171875,1331.9956869281368,1305.3557731895742,1316.1892947506883,5209162
127,2022-07-07,1330.84130859375,1344.3832653678094,1328.1773170972135,1334.7041829822008,3323472
128,2022-07-08,1344.8270263671875,1347.0470188887734,1331.9510697419882,1345.3154680811654,3652582
129,2022-07-11,1308.1529541015625,1331.9068766093092,1302.1589736556825,1327.555669124535,4702638
130,2022-07-12,1277.4725341796875,1304.1124456740424,1275.1637635297923,1298.0741307741685,4710356
131,2022-07-13,1282.66748046875,1296.4758799465965,1277.4727186568018,1287.5959081661404,5264025
132,2022-07-14,1268.814697265625,1290.215406752036,1255.6279613595361,1288.4838556808252,6157606
133,2022-07-15,1270.1466064453125,1284.043782478867,1252.6531072631665,1284.043782478867,5620018
134,2022-07-18,1323.02685546875,1326.3124012665216,1285.8641997914458,1287.5957507176618,5835171
135,2022-07-19,1317.921142578125,1320.3186917980886,1305.4447378345067,1306.7323988881258,3418540
136,2022-07-20,1345.5819091796875,1354.9058777609023,1331.995511602117,1333.1055078617853,5079392
137,2022-07-21,1361.2105712890625,1363.4748985142342,1334.7482183347142,1347.091397845609,5008061
138,2022-07-22,1337.5899658203125,1367.515422286442,1325.0247862021565,1362.1874401216894,7020642
139,2022-07-25,1335.192626953125,1347.225032901467,1314.3246918354944,1314.3246918354944,7859626
140,2022-07-26,1288.6170654296875,1329.0209351127858,1283.1558613643324,1329.0209351127858,7268273
141,2022-07-27,1306.2880859375,1308.019636802142,1283.1557197414088,1288.4837019687088,4517285
142,2022-07-28,1347.44677734375,1353.7070916560501,1322.9824146761307,1328.7988388509684,6636841
143,2022-07-29,1376.12890625,1381.4568882450026,1356.8594147273027,1361.1218436825332,7009465
144,2022-08-01,1377.328125,1388.8276455859902,1365.6509399319816,1388.8276455859902,2983249
145,2022-08-02,1370.7122802734375,1373.7314920454614,1357.1703247119033,1373.3319367159932,4374635
146,2022-08-03,1390.6922607421875,1394.1554711718493,1367.4267796780443,1375.5075317485316,6011955
147,2022-08-04,1420.706787109375,1424.2143328016057,1398.5511912264176,1409.6955997998227,7402209
148,2022-08-05,1435.58056640625,1443.6168753071975,1422.8378294078434,1428.2545901627868,5361971
149,2022-08-08,1438.0225830078125,1440.3313538806547,1417.2434283560572,1435.8913682028474,3763409
150,2022-08-10,1422.9710693359375,1439.6210168307325,1410.22833119954,1439.6210168307325,4423829
151,2022-08-11,1438.510986328125,1448.6341758452916,1435.0034408313697,1447.4354013336217,3462090
152,2022-08-12,1415.55615234375,1433.2273162748345,1412.0486071656317,1432.6057616654232,3562286
153,2022-08-16,1417.6429443359375,1428.7873514369574,1412.8921814722432,1428.7873514369574,3004430
154,2022-08-17,1426.345458984375,1431.4514427285992,1407.475519060068,1417.643043330634,4067324
155,2022-08-18,1405.655029296875,1419.1969856808453,1397.7074982537147,1415.5562190867397,4635706
156,2022-08-19,1418.2203369140625,1425.1467585821308,1407.564370285095,1407.7420347677698,4739884
157,2022-08-22,1399.172607421875,1419.9073173622771,1397.707390574249,1408.3633554325027,3950555
158,2022-08-23,1369.6468505859375,1380.391594615452,1361.2996555455054,1374.619613036166,5551574
159,2022-08-24,1365.2955322265625,1372.8435075266768,1359.5235511147102,1363.0755394912346,2888426
